ькхжебше щбнкэбемрмше янедхмемхъ цняр 6033-80,
               пюглепш Б лл
+------+-------+-----------+----------------+
|      |       | дхюлерп   |  нангмювемхе   |
|вхякн |лндскэ |нйпсфмнярх |                |
|гсаэеб|       | бшярсонб  |                |
+------+-------+-----------+----------------+
|       лндскэ 0.5         |                |
|------+-------+-----------+----------------|
|  16  |   3   |     52    |    52x3x16     |
|  17  |   3   |     55    |    55x3x17     |
|  18  |   3   |     58    |    58x3x18     |
|  18  |   3   |     60    |    60x3x18     |
|  19  |   3   |     62    |    62x3x19     |
|  20  |   3   |     65    |    65x3x20     |
|  21  |   3   |     68    |    68x3x21     |
|  22  |   3   |     70    |    70x3x22     |
|  22  |   3   |     72    |    72x3x22     |
|  24  |   3   |     75    |    75x3x24     |
|  24  |   3   |     78    |    78x3x24     |
|  25  |   3   |     80    |    80x3x25     |
|  26  |   3   |     82    |    82x3x26     |
|  27  |   3   |     85    |    85x3x27     |
|  28  |   3   |     88    |    88x3x28     |
|  28  |   3   |     90    |    90x3x28     |
|  29  |   3   |     92    |    92x3x29     |
|  30  |   3   |     95    |    95x3x30     |
|  31  |   3   |     98    |    98x3x31     |
|  32  |   3   |    100    |   100x3x32     |
|  34  |   3   |    105    |   105x3x34     |
|  35  |   3   |    110    |   110x3x35     |
|  38  |   3   |    120    |   120x3x38     |
|  42  |   3   |    130    |   130x3x42     |
|  45  |   3   |    140    |   140x3x45     |
|  48  |   3   |    150    |   150x3x48     |
|  52  |   3   |    160    |   160x3x52     |
|  55  |   3   |    170    |   170x3x55     |
|  58  |   3   |    180    |   180x3x58     |
|  62  |   3   |    190    |   190x3x62     |
|  65  |   3   |    200    |   200x3x65     |
|  69  |   3   |    210    |   210x3x69     |
|------+-------+-----------+----------------|
|       лндскэ 3.5         |                |
|------+-------+-----------+----------------|
|  12  |  3.5  |     45    |    45x3.5x12   |
|  12  |  3.5  |     48    |    48x3.5x12   |
|  12  |  3.5  |     50    |    50x3.5x12   |
|  12  |  3.5  |     52    |    52x3.5x12   |
|  14  |  3.5  |     55    |    55x3.5x14   |
|  14  |  3.5  |     58    |    58x3.5x14   |
|  16  |  3.5  |     60    |    60x3.5x16   |
|  16  |  3.5  |     62    |    62x3.5x16   |
|  18  |  3.5  |     65    |    65x3.5x18   |
|  18  |  3.5  |     68    |    68x3.5x18   |
|  18  |  3.5  |     70    |    70x3.5x18   |
|  20  |  3.5  |     72    |    72x3.5x20   |
|  20  |  3.5  |     75    |    75x3.5x20   |
|  21  |  3.5  |     78    |    78x3.5x21   |
|  22  |  3.5  |     80    |    80x3.5x22   |
|  22  |  3.5  |     82    |    82x3.5x22   |
|  24  |  3.5  |     85    |    85x3.5x24   |
|  24  |  3.5  |     88    |    88x3.5x24   |
|  24  |  3.5  |     90    |    90x3.5x24   |
|  25  |  3.5  |     92    |    92x3.5x25   |
|  26  |  3.5  |     95    |    95x3.5x26   |
|  26  |  3.5  |     98    |    98x3.5x26   |
|  28  |  3.5  |    100    |   100x3.5x28   |
|  29  |  3.5  |    105    |   105x3.5x29   |
|  30  |  3.5  |    110    |   110x3.5x30   |
|  34  |  3.5  |    120    |   120x3.5x34   |
|  36  |  3.5  |    130    |   130x3.5x36   |
|  38  |  3.5  |    140    |   140x3.5x38   |
|  42  |  3.5  |    150    |   150x3.5x42   |
|  44  |  3.5  |    160    |   160x3.5x44   |
|  48  |  3.5  |    170    |   170x3.5x48   |
|  50  |  3.5  |    180    |   180x3.5x50   |
|------+-------+-----------+----------------|
|       лндскэ 4           |                |
|------+-------+-----------+----------------|
|  6   |   4   |     32    |     32x4x6     |
|  7   |   4   |     35    |     35x4x7     |
|  8   |   4   |     38    |     38x4x8     |
|  8   |   4   |     40    |     40x4x8     |
|  9   |   4   |     42    |     42x4x9     |
|  10  |   4   |     45    |     45x4x10    |
|  10  |   4   |     48    |     48x4x10    |
|  11  |   4   |     50    |     50x4x11    |
|  11  |   4   |     52    |     52x4x11    |
|  12  |   4   |     55    |     55x4x12    |
|  13  |   4   |     58    |     58x4x13    |
|  13  |   4   |     60    |     60x4x13    |
|  14  |   4   |     62    |     62x4x14    |
|  15  |   4   |     65    |     65x4x15    |
|  15  |   4   |     68    |     68x4x15    |
|  16  |   4   |     70    |     70x4x16    |
|  16  |   4   |     72    |     72x4x16    |
|  17  |   4   |     75    |     75x4x17    |
|  18  |   4   |     78    |     78x4x18    |
|  18  |   4   |     80    |     80x4x18    |
|  19  |   4   |     82    |     82x4x19    |
|  20  |   4   |     85    |     85x4x20    |
|  20  |   4   |     88    |     88x4x20    |
|  21  |   4   |     90    |     90x4x21    |
