  Размеры трапециадальных резьб ГОСТ 9484-81 в мм.
+-------------+----+-------+-------+-------+------+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Фаска |
|  pезьбы     |    | ный   |диаметр| ний   |      |
|             |    |диаметp|       |диаметp|      |
|             |    |       |       |       |      |
+-------------+----+-------+-------+-------+------+
|    180x28   |28  | 180   |166    |150    |  16  |
|   180x32    |32  | 180   |164    |146    |  17  |
|   190x32    |32  | 190   |174    |156    |  17  |
|   200x32    |32  | 200   |184    |166    |  17  |
|   210x32    |32  | 210   |194    |176    |  17  |
|   220x32    |32  | 220   |204    |186    |  17  |
|    210x36   |36  | 210   |192    |172    |  20  |
|    220x36   |36  | 220   |202    |182    |  20  |
|    230x36   |36  | 230   |212    |192    |  20  |
|    240x36   |36  | 240   |222    |202    |  20  |
|   240x40    |40  | 240   |220    |198    |  21  |
|   250x40    |40  | 250   |230    |208    |  21  |
|   260x40    |40  | 260   |240    |218    |  21  |
|   270x40    |40  | 270   |250    |228    |  21  |
|   280x40    |40  | 280   |260    |238    |  21  |
|   300x40    |40  | 300   |280    |258    |  21  |
|    290x44   |44  | 290   |268    |244    |  25  |
|    300x44   |44  | 300   |278    |254    |  25  |
|   320x48    |48  | 320   |296    |270    |  25  |
|   340x48    |48  | 340   |316    |290    |  25  |
|   360x48    |48  | 360   |336    |310    |  25  |
|   380x48    |48  | 380   |356    |330    |  25  |
|   400x48    |48  | 400   |376    |350    |  25  |
+-------------+----+-------+-------+-------+------+
