           Размеры метрических резьб в мм.
     (по ГОСТ 9150-81, ГОСТ 8724-81, ГОСТ24705-81)
+-------------+----+-------+-------+-------+-------+-----+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Высота |Фаска|
|  pезьбы     |    | ный   |диаметр| ний   |профиля|     |
|             |    |диаметp|       |диаметp|       |     |
|             |    |       |       |       |       |     |
+-------------+----+-------+-------+-------+-------+-----+
| M53x2       |2   |  53   | 51.701| 50.835|  1.082| 2   |
| M56         |5.5 |  56   | 52.428| 50.046|  2.977| 4   |
|    M56x4    |4   |  56   | 53.402| 51.670|  2.165| 3   |
| M56x3       |3   |  56   | 54.051| 52.752|  1.624| 2.5 |
| M56x1.5     |1.5 |  56   | 55.026| 54.376|  0.812| 1.6 |
| M56x1       |1   |  56   | 55.350| 54.918|  0.541| 1   |
|    M60      |5.5 |  60   | 56.428| 54.046|  2.977| 4   |
|    M60x4    |4   |  60   | 57.402| 55.670|  2.165| 3   |
|    M60x3    |3   |  60   | 58.051| 56.752|  1.624| 2.5 |
|    M60x2    |2   |  60   | 58.701| 57.835|  1.082| 2   |
|    M60x1.5  |1.5 |  60   | 59.026| 58.376|  0.812| 1.6 |
|    M60x1    |1   |  60   | 59.350| 58.918|  0.541| 1   |
| M64         |6   |  64   | 60.103| 57.505|  3.247| 4   |
| M64x4       |4   |  64   | 61.402| 59.670|  2.165| 3   |
| M64x3       |3   |  64   | 62.051| 60.752|  1.624| 2.5 |
| M64x2       |2   |  64   | 62.701| 61.835|  1.082| 2   |
| M64x1.5     |1.5 |  64   | 63.026| 62.376|  0.812| 1.6 |
| M64x1       |1   |  64   | 63.350| 62.918|  0.541| 1   |
|    M68      |6   |  68   | 64.103| 61.505|  3.247| 4   |
|    M68x3    |3   |  68   | 66.051| 64.752|  1.624| 2.5 |
|    M68x2    |2   |  68   | 66.701| 65.835|  1.082| 2   |
|    M68x1.5  |1.5 |  68   | 67.026| 66.376|  0.812| 1.6 |
|    M68x1    |1   |  68   | 67.350| 66.918|  0.541| 1   |
| M72x4       |4   |  72   | 69.402| 67.670|  2.165| 3   |
| M72x3       |3   |  72   | 70.051| 68.752|  1.624| 2.5 |
| M72x2       |2   |  72   | 70.701| 69.835|  1.082| 2   |
| M72x1.5     |1.5 |  72   | 71.026| 70.376|  0.812| 1.6 |
| M72x1       |1   |  72   | 71.350| 70.918|  0.541| 1   |
|    M76x4    |4   |  76   | 73.402| 71.670|  2.165| 3   |
|    M76x3    |3   |  76   | 74.051| 72.752|  1.624| 2.5 |
|    M76x2    |2   |  76   | 74.701| 73.835|  1.082| 2   |
|    M76x1.5  |1.5 |  76   | 75.026| 74.376|  0.812| 1.6 |
|    M76x1    |1   |  76   | 75.350| 74.918|  0.541| 1   |
| M80x4       |4   |  80   | 77.402| 75.670|  2.165| 3   |
| M80x3       |3   |  80   | 78.051| 76.752|  1.624| 2.5 |
| M80x2       |2   |  80   | 78.701| 77.835|  1.082| 2   |
| M80x1.5     |1.5 |  80   | 79.026| 78.376|  0.812| 1.6 |
| M80x1       |1   |  80   | 79.350| 78.918|  0.541| 1   |
|    M85x4    |4   |  85   | 82.402| 80.670|  2.165| 3   |
|    M85x3    |3   |  85   | 83.051| 81.752|  1.624| 2.5 |
|    M85x2    |2   |  85   | 83.701| 82.835|  1.082| 2   |
|    M85x1.5  |1.5 |  85   | 84.026| 83.376|  0.812| 1.6 |
| M90x4       |4   |  90   | 87.402| 85.670|  2.165| 3   |
| M90x3       |3   |  90   | 88.051| 86.752|  1.624| 2.5 |
| M90x2       |2   |  90   | 88.701| 87.835|  1.082| 2   |
| M90x1.5     |1.5 |  90   | 89.026| 88.376|  0.812| 1.6 |
|    M95x4    |4   |  95   | 92.402| 90.670|  2.165| 3   |
