      ÿÀ»÷≈¬€≈ ›¬ŒÀ‹¬≈Õ“Õ€≈ —Œ≈ƒ»Õ≈Õ»ﬂ ,
               –¿«Ã≈–€ ‚ ÃÃ
+------+-------+-----------+----------------¨
|      |       | ƒ»¿Ã≈“–   |  Œ¡Œ«Õ¿◊≈Õ»≈   |
|◊»—ÀŒ |ÃŒƒ”À‹ |Œ –”∆ÕŒ—“» |                |
|«”¡‹≈¬|       | ¬€—“”œŒ¬  |                |
+------+-------+-----------+----------------|
|       ÃŒƒ”À‹ 1           |                |
|--------------------------+----------------|
|  28  |  3.5  |    100    |   100x3,5x28   |
|  29  |  3.5  |    105    |   105x3,5x29   |
|  30  |  3.5  |    110    |   110x3,5x30   |
|  34  |  3.5  |    120    |   120x3,5x34   |
|  36  |  3.5  |    130    |   130x3,5x36   |
|  38  |  3.5  |    140    |   140x3,5x38   |
|  42  |  3.5  |    150    |   150x3,5x42   |
|  44  |  3.5  |    160    |   160x3,5x44   |
|  48  |  3.5  |    170    |   170x3,5x48   |
|  50  |  3.5  |    180    |   180x3,5x50   |
|--------------------------|----------------|
|       ÃŒƒ”À‹ 4           |                |
|--------------------------+----------------|
|   6  |  4    |     32    |   32x4x6       |
|   7  |  4    |     35    |   35x4x7       |
|   8  |  4    |     38    |   38x4x8       |
|   8  |  4    |     40    |   40x4x8       |
|   9  |  4    |     42    |   42x4x9       |
|  10  |  4    |     45    |   45x4x10      |
|  10  |  4    |     48    |   48x4x10      |
|  11  |  4    |     50    |   50x4x11      |
|  11  |  4    |     52    |   52x4x11      |
|  12  |  4    |     55    |   55x4x12      |
|  13  |  4    |     58    |   58x4x13      |
|  13  |  4    |     60    |   60x4x13      |
|  14  |  4    |     62    |   62x4x14      |
|  15  |  4    |     65    |   65x4x15      |
|  15  |  4    |     68    |   68x4x15      |
|  16  |  4    |     70    |   70x4x16      |
|  16  |  4    |     72    |   72x4x16      |
|  17  |  4    |     75    |   75x4x17      |
|  18  |  4    |     78    |   78x4x18      |
|  18  |  4    |     80    |   80x4x18      |
|  19  |  4    |     82    |   82x4x19      |
|  20  |  4    |     85    |   85x4x20      |
|  20  |  4    |     88    |   88x4x20      |
|  21  |  4    |     90    |   90x4x21      |
|  22  |  4    |     92    |   92x4x22      |
|  22  |  4    |     95    |   95x4x22      |
|  23  |  4    |     98    |   98x4x23      |
|  24  |  4    |    100    |   100x4x24     |
|  25  |  4    |    105    |   105x4x25     |
|  26  |  4    |    110    |   110x4x26     |
