Нормы плавности работы. Коэффициент Fpb. ГОСТ 1643-81 
                                                    
+-------------+-------------------------+ ------------
| Модуль m,мм |           | Делительный |            |
|             | Степень   | диаметр, мм |  Значение  |
+-------------| точности  +-------------|   коеф-та  |
| MIN  | MAX  |           | MIN  | MAX  |            |
+-------------+-----------+-------------+------------+
|           Степень точности 5                       |
|  1   |  3.5 |     9     |  125 |  400 |    30      |
|  3.5 |  6.3 |     9     |  125 |  400 |    38      |
|  6.3 |  10  |     9     |  125 |  400 |    42      |
|  10  |  16  |     9     |  125 |  400 |    48      |
|  16  |  25  |     9     |  125 |  400 |    60      |
|  25  |  40  |     9     |  125 |  400 |    -       |
|  40  |  55  |     9     |  125 |  400 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     |  400 |  800 |    34      |
|  3.5 |  6.3 |     9     |  400 |  800 |    38      |
|  6.3 |  10  |     9     |  400 |  800 |    45      |
|  10  |  16  |     9     |  400 |  800 |    53      |
|  16  |  25  |     9     |  400 |  800 |    67      |
|  25  |  40  |     9     |  400 |  800 |    85      |
|  40  |  55  |     9     |  400 |  800 |    106     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     |  800 | 1600 |    38      |
|  3.5 |  6.3 |     9     |  800 | 1600 |    42      |
|  6.3 |  10  |     9     |  800 | 1600 |    48      |
|  10  |  16  |     9     |  800 | 1600 |    53      |
|  16  |  25  |     9     |  800 | 1600 |    67      |
|  25  |  40  |     9     |  800 | 1600 |    85      |
|  40  |  55  |     9     |  800 | 1600 |    118     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     | 1600 | 2500 |    42      |
|  3.5 |  6.3 |     9     | 1600 | 2500 |    48      |
|  6.3 |  10  |     9     | 1600 | 2500 |    53      |
|  10  |  16  |     9     | 1600 | 2500 |    60      |
|  16  |  25  |     9     | 1600 | 2500 |    75      |
|  25  |  40  |     9     | 1600 | 2500 |    95      |
|  40  |  55  |     9     | 1600 | 2500 |    118     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     | 2500 | 4000 |    -       |
|  3.5 |  6.3 |     9     | 2500 | 4000 |    53      |
|  6.3 |  10  |     9     | 2500 | 4000 |    60      |
|  10  |  16  |     9     | 2500 | 4000 |    67      |
|  16  |  25  |     9     | 2500 | 4000 |    75      |
|  25  |  40  |     9     | 2500 | 4000 |    95      |
|  40  |  55  |     9     | 2500 | 4000 |    132     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     | 4000 | 6300 |    -       |
|  3.5 |  6.3 |     9     | 4000 | 6300 |    -       |
|  6.3 |  10  |     9     | 4000 | 6300 |    67      |
|  10  |  16  |     9     | 4000 | 6300 |    75      |
|  16  |  25  |     9     | 4000 | 6300 |    85      |
|  25  |  40  |     9     | 4000 | 6300 |    106     |
|  40  |  55  |     9     | 4000 | 6300 |    132     |
+-------------+-----------+-------------+------------+
|           Степень точности 10                      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    |  0   |  125 |    38      |
|  3.5 |  6.3 |     10    |  0   |  125 |    48      |
|  6.3 |  10  |     10    |  0   |  125 |    53      |
|  10  |  16  |     10    |  0   |  125 |    -       |
|  16  |  25  |     10    |  0   |  125 |    -       |
|  25  |  40  |     10    |  0   |  125 |    -       |
|  40  |  55  |     10    |  0   |  125 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    |  125 |  400 |    42      |
|  3.5 |  6.3 |     10    |  125 |  400 |    53      |
|  6.3 |  10  |     10    |  125 |  400 |    60      |
|  10  |  16  |     10    |  125 |  400 |    67      |
|  16  |  25  |     10    |  125 |  400 |    85      |
|  25  |  40  |     10    |  125 |  400 |    -       |
|  40  |  55  |     10    |  125 |  400 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    |  400 |  800 |    48      |
|  3.5 |  6.3 |     10    |  400 |  800 |    53      |
|  6.3 |  10  |     10    |  400 |  800 |    67      |
|  10  |  16  |     10    |  400 |  800 |    75      |
|  16  |  25  |     10    |  400 |  800 |    95      |
|  25  |  40  |     10    |  400 |  800 |    118     |
|  40  |  55  |     10    |  400 |  800 |    150     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    |  800 | 1600 |    53      |
|  3.5 |  6.3 |     10    |  800 | 1600 |    60      |
|  6.3 |  10  |     10    |  800 | 1600 |    67      |
|  10  |  16  |     10    |  800 | 1600 |    75      |
|  16  |  25  |     10    |  800 | 1600 |    95      |
|  25  |  40  |     10    |  800 | 1600 |    118     |
|  40  |  55  |     10    |  800 | 1600 |    150     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    | 1600 | 2500 |    60      |
|  3.5 |  6.3 |     10    | 1600 | 2500 |    67      |
|  6.3 |  10  |     10    | 1600 | 2500 |    75      |
|  10  |  16  |     10    | 1600 | 2500 |    85      |
|  16  |  25  |     10    | 1600 | 2500 |    106     |
|  25  |  40  |     10    | 1600 | 2500 |    132     |
|  40  |  55  |     10    | 1600 | 2500 |    170     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    | 2500 | 4000 |    -       |
|  3.5 |  6.3 |     10    | 2500 | 4000 |    75      |
|  6.3 |  10  |     10    | 2500 | 4000 |    85      |
|  10  |  16  |     10    | 2500 | 4000 |    95      |
|  16  |  25  |     10    | 2500 | 4000 |    106     |
|  25  |  40  |     10    | 2500 | 4000 |    132     |
|  40  |  55  |     10    | 2500 | 4000 |    170     |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     10    | 4000 | 6300 |    -       |
|  3.5 |  6.3 |     10    | 4000 | 6300 |    -       |
|  6.3 |  10  |     10    | 4000 | 6300 |    95      |
|  10  |  16  |     10    | 4000 | 6300 |    106     |
|  16  |  25  |     10    | 4000 | 6300 |    118     |
|  25  |  40  |     10    | 4000 | 6300 |    150     |
|  40  |  55  |     10    | 4000 | 6300 |    190     |
+-------------+-----------+-------------+------------+
